entry_date,ticker,exit_date,stock_entry_price,stock_exit_price,call_premium_pct,pnl_pct,leg
2016-03-07,EXR,2016-05-02,59.2954,63.3775,1.5633,5.32,primary
2016-03-07,KR,2016-05-02,31.5194,28.1831,3.6157,-3.62,primary
2016-03-07,PSA,2016-05-02,171.1523,176.6467,1.5633,1.65,primary
2016-03-07,ZTS,2016-05-02,38.6293,43.7668,2.1919,11.11,primary
2016-03-14,AMGN,2016-05-09,108.0957,113.177,1.492,3.21,primary
2016-03-14,ICE,2016-05-09,41.6865,45.799,2.5232,7.34,primary
2016-03-21,LLY,2016-05-16,60.2198,63.7673,1.5687,4.32,primary
2016-03-21,TMUS,2016-05-16,35.5749,40.0938,1.9172,10.79,primary
2016-03-28,BMY,2016-05-23,46.1063,50.9539,1.432,9.08,primary
2016-03-28,KDP,2016-05-23,11.6019,11.7099,1.4409,-0.51,primary
2016-03-28,KR,2016-05-23,31.2584,29.2164,2.8706,-2.87,primary
2016-04-04,VLO,2016-05-30,42.4214,37.5011,2.4621,-2.46,primary
2016-04-11,COST,2016-06-06,129.0571,130.8754,2.342,-0.93,primary
2016-04-11,LHX,2016-06-06,63.9921,67.3997,1.2904,4.03,primary
2016-04-11,PNC,2016-06-06,60.8375,63.2799,2.158,1.86,primary
2016-04-25,KDP,2016-06-20,11.5523,11.7813,1.7269,0.26,primary
2016-05-16,DAL,2016-07-11,38.2464,35.4777,8.3516,-8.35,primary
2016-05-16,KR,2016-07-11,28.3246,30.0346,3.3308,2.71,primary
2016-05-16,LHX,2016-07-11,65.1085,70.9528,1.4401,7.54,primary
2016-05-16,VLO,2016-07-11,37.7595,33.9584,2.4364,-2.44,primary
2016-05-23,COST,2016-07-18,125.9825,141.5232,2.256,10.08,primary
2016-05-23,EXR,2016-07-18,63.7204,64.7635,1.2431,0.39,primary
2016-05-23,GOOG,2016-07-18,36.3347,36.8346,2.4135,-1.04,primary
2016-05-23,GOOGL,2016-07-18,37.0736,37.6528,3.1595,-1.6,primary
2016-05-23,KDP,2016-07-18,11.7099,12.5686,1.4431,5.89,primary
2016-05-23,PG,2016-07-18,62.4582,65.7487,1.2283,4.04,primary
2016-05-23,TRV,2016-07-18,91.8867,94.8314,2.0788,1.13,primary
2016-05-23,WEC,2016-07-18,43.5925,47.7233,1.2431,8.23,primary
2016-05-30,AEP,2016-07-25,46.6723,49.1474,1.2762,4.03,primary
2016-05-30,PANW,2016-07-25,23.2733,21.815,2.9065,-2.91,primary
2016-05-30,PSA,2016-07-25,174.6005,161.4864,1.2762,-1.28,primary
2016-05-30,VLO,2016-07-25,37.5011,35.5496,2.1591,-2.16,primary
2016-05-30,XEL,2016-07-25,31.0181,32.5935,1.2762,3.8,primary
2016-06-06,DAL,2016-08-01,37.3057,33.4279,9.3571,-9.36,primary
2016-06-06,GE,2016-08-01,128.0472,134.3429,1.6135,3.3,primary
2016-06-06,NKE,2016-08-01,48.4519,49.1026,3.1315,-1.79,primary
2016-06-06,ORLY,2016-08-01,17.4027,19.3653,3.7318,7.55,primary
2016-06-13,ADP,2016-08-08,70.9381,72.9785,1.839,1.04,primary
2016-06-13,CI,2016-08-08,117.7124,121.1755,2.8094,0.13,primary
2016-06-20,ABT,2016-08-15,31.6323,37.1414,3.422,13.99,primary
2016-06-20,KDP,2016-08-15,11.7813,12.1353,2.8335,0.17,primary
2016-06-20,ORLY,2016-08-15,17.844,19.048,5.6448,1.1,primary
2016-06-20,TSN,2016-08-15,49.7234,58.5699,5.6448,12.15,primary
2016-06-20,VLO,2016-08-15,35.74,37.6941,4.1291,1.34,primary
2016-06-27,AAL,2016-08-22,28.1868,34.9221,1.3994,22.5,primary
2016-06-27,EL,2016-08-22,81.0858,80.2822,1.3828,-1.38,primary
2016-06-27,ELV,2016-08-22,115.0902,109.2077,2.1378,-2.14,primary
2016-06-27,FE,2016-08-22,23.405,21.7681,1.3994,-1.4,primary
2016-06-27,GE,2016-08-22,135.2448,134.1282,1.3994,-1.4,primary
2016-06-27,GILD,2016-08-22,59.9441,56.3486,1.6145,-1.61,primary
2016-06-27,GOOG,2016-08-22,34.6758,38.1637,2.717,7.34,primary
2016-06-27,GOOGL,2016-08-22,35.2214,39.3359,3.5568,8.13,primary
2016-06-27,MSFT,2016-08-22,45.33,51.7376,2.6582,11.48,primary
2016-06-27,NKE,2016-08-22,48.8915,51.872,2.7159,3.38,primary
2016-06-27,PM,2016-08-22,62.3503,61.0083,1.6246,-1.62,primary
2016-06-27,PSA,2016-08-22,171.5708,151.4019,1.3994,-1.4,primary
2016-06-27,TJX,2016-08-22,33.5655,34.4297,3.2366,-0.66,primary
2016-06-27,UAL,2016-08-22,41.37,46.87,8.1153,5.18,primary
2016-07-04,DAL,2016-08-29,33.1616,33.1654,7.2527,-7.24,primary
2016-07-04,LUV,2016-08-29,36.0396,32.8839,7.2527,-7.25,primary
2016-07-04,LVS,2016-08-29,34.7797,42.5033,2.106,20.1,primary
2016-07-04,PANW,2016-08-29,20.99,24.1967,2.8483,12.43,primary
2016-07-11,VLO,2016-09-05,33.9584,37.7628,2.0309,9.17,primary
2016-08-01,CTSH,2016-09-26,52.6682,42.0834,1.6611,-1.66,primary
2016-08-01,PGR,2016-09-26,25.8745,23.8877,1.8047,-1.8,primary
2016-08-08,LYB,2016-10-03,43.143,47.1654,1.0943,8.23,primary
2016-08-15,DAL,2016-10-10,32.8085,35.7262,6.2307,2.66,primary
2016-08-15,PPG,2016-10-10,87.7708,77.605,1.0617,-1.06,primary
2016-08-22,ACN,2016-10-17,99.3148,99.651,1.9907,-1.65,primary
2016-08-22,CTSH,2016-10-17,51.0452,43.8475,1.9907,-1.99,primary
2016-08-22,LUV,2016-10-17,32.3313,37.8223,7.5,9.48,primary
2016-08-29,AON,2016-10-24,103.1042,102.3684,1.8981,-1.9,primary
2016-08-29,EXR,2016-10-24,56.6283,50.37,1.135,-1.14,primary
2016-08-29,MCD,2016-10-24,91.6473,89.3853,2.6252,-2.63,primary
2016-08-29,PM,2016-10-24,62.652,59.9043,1.3177,-1.32,primary
2016-08-29,PSA,2016-10-24,153.2877,141.5845,1.135,-1.14,primary
2016-09-05,GILD,2016-10-31,55.1336,51.4737,1.9129,-1.91,primary
2016-09-05,PYPL,2016-10-31,37.8079,40.6825,1.9662,5.64,primary
2016-11-28,AVB,2017-01-23,120.4402,127.6312,1.3378,4.63,primary
2016-11-28,IFF,2017-01-23,94.8993,95.2361,1.322,-0.97,primary
2016-11-28,NEE,2017-01-23,22.6522,24.0303,1.3378,4.75,primary
2016-12-05,ABT,2017-01-30,33.1193,36.3775,1.5609,8.28,primary
2016-12-05,AMZN,2017-01-30,38.433,40.51,2.0699,3.33,primary
2016-12-05,AON,2017-01-30,104.2769,105.2272,1.8617,-0.95,primary
2016-12-05,AVGO,2017-01-30,13.7919,15.9674,2.4359,13.34,primary
2016-12-05,BSX,2017-01-30,20.81,25.22,1.5609,19.63,primary
2016-12-05,CCI,2017-01-30,57.4844,60.2648,1.1133,3.72,primary
2016-12-05,CHTR,2017-01-30,278.81,328.71,1.5283,16.37,primary
2016-12-05,CL,2017-01-30,53.2693,53.3186,1.1001,-1.01,primary
2016-12-05,CSCO,2017-01-30,22.7292,23.8852,1.2861,3.8,primary
2016-12-05,EL,2017-01-30,70.9312,73.8767,1.1001,3.05,primary
2016-12-05,ET,2017-01-30,7.9253,8.788,1.9389,8.95,primary
2016-12-05,JNJ,2017-01-30,87.0465,88.1166,1.2687,-0.04,primary
2016-12-05,MCO,2017-01-30,91.5988,97.4746,1.7136,4.7,primary
2016-12-05,PEP,2017-01-30,78.1742,79.3366,1.3972,0.09,primary
2016-12-05,PM,2017-01-30,56.1288,63.6132,1.2924,12.04,primary
2016-12-05,SO,2017-01-30,32.6839,33.2907,1.1133,0.74,primary
2016-12-05,TMO,2017-01-30,141.6012,147.6159,1.3373,2.91,primary
2016-12-05,TSLA,2017-01-30,12.812,16.7553,6.456,24.32,primary
2016-12-05,TSN,2017-01-30,48.7165,51.4465,2.5748,3.03,primary
2016-12-05,WAT,2017-01-30,139.51,146.34,1.3373,3.56,primary
2016-12-05,ZTS,2017-01-30,48.1696,52.0133,1.5609,6.42,primary
2016-12-12,AFL,2017-02-06,27.9801,28.2098,1.3173,-0.5,primary
2016-12-12,AMT,2017-02-06,84.0325,84.2447,1.1559,-0.9,primary
2016-12-12,BDX,2017-02-06,111.8133,118.6654,1.6206,4.51,primary
2016-12-12,DHR,2017-02-06,66.9796,71.1169,1.3885,4.79,primary
2016-12-12,FE,2017-02-06,21.6379,20.9846,1.1559,-1.16,primary
2016-12-12,ISRG,2017-02-06,71.2656,78.3911,1.6206,8.38,primary
